codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
AF,"['""7""', '""0""', '""0""', '""1,002""', '""0""', '""1,300""', '""338""', '""0""', '""625""']",3274,75,600
AL,"['""2""', '""0""', '""57""', '""1,109""', '""0""', '""846""', '""251""', '""0""', '""474""']",2742,45,2228
DZ,"['""73""', '""219""', '""267""', '""10,493""', '""23""', '""15,330""', '""5,921""', '""0""', '""20,437""']",52767,130,25431
AD,"['""0""', '""0""', '""0""', '""4""', '""21""', '""0""', '""0""', '""0""', '""24""']",50,3,45
AO,"['""0""', '""41""', '""0""', '""1,026""', '""168""', '""2,588""', '""2,126""', '""0""', '""616""']",6568,69,7981
AG,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""47""']",47,5,3
AR,"['""37""', '""648""', '""4,472""', '""761""', '""33,971""', '""2,621""', '""16,089""', '""0""', '""3,325""']",61928,353,36610
AM,"['""0""', '""7""', '""341""', '""1,090""', '""0""', '""1,351""', '""201""', '""0""', '""2,180""']",5172,82,4835
AU,"['""977""', '""27,005""', '""10,283""', '""25,079""', '""24,553""', '""15,658""', '""9,523""', '""0""', '""7,832""']",120914,756,75036
AT,"['""1,632""', '""8,006""', '""5,246""', '""8,486""', '""0""', '""1,685""', '""1,344""', '""0""', '""8,335""']",34738,1357,21867
AZ,"['""0""', '""0""', '""179""', '""2,504""', '""80""', '""1,160""', '""2,542""', '""0""', '""3,178""']",9645,80,7450
BH,"['""0""', '""0""', '""0""', '""0""', '""0""', '""18""', '""0""', '""0""', '""12""']",30,9,7035
BD,"['""2""', '""0""', '""2""', '""0""', '""4,537""', '""2,508""', '""1,663""', '""0""', '""264""']",8980,179,23148
BB,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,32,1
BY,"['""244""', '""15,180""', '""11,231""', '""15,657""', '""0""', '""1,674""', '""4,883""', '""0""', '""6,740""']",55612,653,11719
BE,"['""81""', '""229""', '""822""', '""2,739""', '""2,143""', '""599""', '""932""', '""0""', '""1,463""']",9011,195,15241
BZ,"['""11""', '""18""', '""87""', '""393""', '""0""', '""0""', '""0""', '""0""', '""128""']",639,8,62
BJ,"['""0""', '""1""', '""0""', '""0""', '""1,017""', '""0""', '""0""', '""0""', '""35""']",1055,4,162
BT,"['""0""', '""0""', '""0""', '""27""', '""41""', '""218""', '""273""', '""0""', '""466""']",1027,5,100
BO,"['""0""', '""0""', '""19""', '""3,551""', '""46""', '""3,644""', '""235""', '""0""', '""832""']",8328,58,2626
BA,"['""0""', '""14""', '""31""', '""1,064""', '""0""', '""1,382""', '""653""', '""0""', '""2,782""']",5928,112,5621
BW,"['""0""', '""0""', '""0""', '""402""', '""1,810""', '""1,544""', '""849""', '""0""', '""656""']",5264,58,828
