codeiso2,nb_international_connections,nb_substations,grid_connectivity
AF,10,77,41x72 + 2x3 + 2x2 + 3*(2x1) + 3*(1x1)
AL,8,317,45x72 + 3x3 + 3*(3x2) + 2x2 + 8*(2x1) + 2*(1x1)
DZ,8,764,363x801 + 11x10 + 4x4 + 3x2 + 2*(2x2) + 4*(2x1) + 2*(1x1)
AD,4,8,3x8 + 1x1
AO,2,177,56x78 + 3x4 + 3x2 + 4*(2x1) + 2*(1x1)
AG,0,9,6x5
AR,16,1621,688x1095 + 10x10 + 8x9 + 6x5 + 3x4 + 3x3 + 10*(3x2) + 2x5 + 2*(2x2) + 26*(2x1) + 2*(1x2) + 4*(1x1)
AM,14,417,113x260 + 3*(4x3) + 3x5 + 3x2 + 2*(2x3) + 3*(2x2) + 8*(2x1) + 1x4 + 1x3 + 2*(1x1)
AU,0,4110,1624x6772 + 113x191 + 16x21 + 13x31 + 9x18 + 8x16 + 7x7 + 6x5 + 5x5 + 5x4 + 4x4 + 2*(4x3) + 3x4 + 2*(3x3) + 4*(3x2) + 2*(2x4) + 2x2 + 36*(2x1) + 1x32 + 4*(1x4) + 8*(1x1)
AT,36,14293,913x1649 + 25x28 + 20x21 + 20x19 + 11x10 + 10x9 + 2*(8x8) + 2*(8x7) + 2*(7x7) + 3*(7x6) + 6x6 + 5*(6x5) + 5x6 + 8*(5x4) + 4x6 + 4x5 + 3*(4x4) + 21*(4x3) + 3x4 + 7*(3x3) + 36*(3x2) + 2*(2x3) + 9*(2x2) + 176*(2x1) + 3*(1x2) + 11*(1x1)
AZ,16,513,153x384 + 16x43 + 7x10 + 6x8 + 6x6 + 5x5 + 4x11 + 2*(3x4) + 3*(3x2) + 2x6 + 2x3 + 2*(2x2) + 9*(2x1) + 5*(1x3) + 2*(1x2) + 10*(1x1)
BH,1,44,3x8 + 1x1
BD,6,328,189x305 + 3*(2x1)
BB,0,0,0
BY,30,11836,1289x2537 + 8x10 + 3x5 + 3x3 + 2*(3x2) + 2x3 + 2x2 + 9*(2x1) + 1x2 + 6*(1x1)
BE,23,6291,489x1044 + 3x2 + 2x2 + 5*(2x1) + 2*(1x1)
BZ,1,25,3x3 + 3x2 + 2*(2x1) + 1x1
BJ,7,27,12x16 + 2x1
BT,8,38,10x17 + 2x4 + 2x1 + 2*(1x1)
BO,1,235,83x112 + 4x5 + 3x3 + 3x2 + 7*(2x1)
BA,58,225,74x122 + 12x20 + 4x4 + 3x3 + 2*(1x2) + 1x1
BW,10,98,48x80 + 10x10 + 3*(3x2) + 2*(2x1) + 2*(1x1)
BR,12,8428,6433x11572 + 20x29 + 5x7 + 3*(3x3) + 3*(3x2) + 3*(2x2) + 13*(2x1) + 3*(1x1)
BN,0,109,23x28
BG,12,2368,226x764 + 13x20 + 13x17 + 7x6 + 5x7 + 5x5 + 4x8 + 3x4 + 3*(3x3) + 4*(3x2) + 2*(2x3) + 2*(2x2) + 22*(2x1) + 8*(1x1)
BF,3,29,14x18 + 2x1
BI,3,9,6x7 + 1x1
KH,4,58,38x48 + 6x6 + 2*(2x1)
CM,2,47,8x13 + 5x5 + 2x1
CA,37,6262,2322x5316 + 12x17 + 7x13 + 7x10 + 7x6 + 5x6 + 5x4 + 4x19 + 4x4 + 9*(4x3) + 3*(3x5) + 3x4 + 5*(3x3) + 13*(3x2) + 2x7 + 3*(2x4) + 4*(2x3) + 10*(2x2) + 74*(2x1) + 1x9 + 1x6 + 3*(1x4) + 2*(1x3) + 6*(1x2) + 27*(1x1)
CV,0,17,2*(2x1)
CF,0,4,2x1
TD,0,9,2x1
CL,3,976,541x1077 + 5x5 + 4x4 + 2*(4x3) + 3x3 + 6*(3x2) + 33*(2x1) + 2*(1x2)
CO,6,643,259x587 + 3x3 + 2*(3x2) + 2x10 + 7*(2x1) + 2*(1x1)
KM,0,0,0
CR,6,109,72x136 + 2x1
HR,49,1883,321x572 + 4x4 + 4x3 + 2x2 + 6*(2x1) + 1x3 + 2*(1x2) + 1x1
